,SPY
2015-11-29,"['17.854', '25.336', '16.146', '-0.46299999999999997', '8.722000000000001', '13.107000000000001', '9.06', '-0.484', '211.0', '646.7280000000001', '341.958', '-1.274', '0.41700000000000004', '0.625', '-0.027000000000000003', '2015-11-29']"
2015-11-30,"['27.678', '26.118000000000002', '15.792', '0.099', '22.873', '13.855', '9.186', '0.982', '429.0', '617.818', '332.673', '-0.568', '0.441', '0.818', '-0.172', '2015-11-30']"
2015-12-01,"['36.619', '25.675', '16.015', '0.6829999999999999', '24.237', '13.478', '9.137', '1.178', '807.0', '618.764', '338.39599999999996', '0.556', '0.342', '0.7709999999999999', '0.14', '2015-12-01']"
2015-12-02,"['47.93899999999999', '27.075', '17.052', '1.224', '26.237', '14.140999999999998', '9.522', '1.27', '828.0', '613.806', '334.911', '0.64', '0.335', '0.838', '-0.067', '2015-12-02']"
2015-12-03,"['24.561', '27.607', '17.15', '-0.17800000000000002', '14.527999999999999', '14.753', '9.263', '-0.024', '1009.0', '608.494', '322.622', '1.2409999999999999', '0.38799999999999996', '1.724', '0.342', '2015-12-03']"
2015-12-04,"['11.66', '27.638', '17.066', '-0.9359999999999999', '12.408', '15.08', '8.949', '-0.299', '1293.0', '620.724', '341.54699999999997', '1.9680000000000002', '0.308', '2.1590000000000003', '-0.205', '2015-12-04']"
2015-12-05,"['42.576', '29.351999999999997', '16.913', '0.782', '21.535999999999998', '15.700999999999999', '8.885', '0.657', '741.0', '643.493', '325.139', '0.3', '0.371', '1.327', '0.115', '2015-12-05']"
2015-12-06,"['5.274', '29.038', '17.874000000000002', '-1.329', '3.0469999999999997', '15.44', '9.345', '-1.3259999999999998', '186.0', '634.743', '344.426', '-1.3030000000000002', '0.5589999999999999', '0.565', '-0.073', '2015-12-06']"
2015-12-07,"['14.444', '27.881', '17.639', '-0.762', '10.17', '15.005999999999998', '9.097999999999999', '-0.532', '490.0', '607.773', '330.459', '-0.35600000000000004', '0.41600000000000004', '1.298', '-0.09300000000000001', '2015-12-07']"
2015-12-08,"['8.274', '26.348000000000003', '18.328', '-0.986', '2.912', '14.117', '9.621', '-1.165', '931.0', '603.456', '334.955', '0.978', '0.325', '1.608', '-0.068', '2015-12-08']"
2015-12-09,"['52.43600000000001', '25.980999999999998', '16.692', '1.585', '33.793', '14.132', '9.276', '2.12', '865.0', '593.264', '323.47', '0.84', '0.33899999999999997', '1.534', '0.22', '2015-12-09']"
2015-12-10,"['16.123', '23.945', '15.397', '-0.508', '12.397', '12.923', '7.909', '-0.066', '1105.0', '615.53', '344.969', '1.419', '0.35600000000000004', '1.886', '0.22399999999999998', '2015-12-10']"
2015-12-11,"['21.897', '23.018', '14.395999999999999', '-0.078', '9.413', '12.079', '7.643', '-0.349', '988.0', '635.451', '355.279', '0.992', '0.33799999999999997', '1.808', '-0.24100000000000002', '2015-12-11']"
2015-12-12,"['2.299', '22.872', '15.251', '-1.349', '0.785', '11.905999999999999', '8.068999999999999', '-1.3780000000000001', '915.0', '666.743', '339.01599999999996', '0.732', '0.401', '1.546', '0.019', '2015-12-12']"
2015-12-13,"['11.097000000000001', '22.412', '15.450999999999999', '-0.732', '7.345', '11.67', '8.059', '-0.537', '229.0', '670.8610000000001', '355.151', '-1.244', '0.555', '0.5', '0.044000000000000004', '2015-12-13']"
2015-12-14,"['19.128', '22.197', '15.515', '-0.198', '14.834000000000001', '11.798', '8.101', '0.375', '601.0', '668.431', '353.379', '-0.191', '0.489', '1.433', '0.45299999999999996', '2015-12-14']"
2015-12-15,"['85.57799999999999', '24.891', '21.208000000000002', '2.862', '54.551', '13.648', '12.648', '3.234', '1163.0', '680.4860000000001', '376.77', '1.281', '0.331', '1.631', '-0.031', '2015-12-15']"
2015-12-16,"['69.336', '26.206999999999997', '21.8', '1.9780000000000002', '41.622', '14.369000000000002', '12.460999999999999', '2.187', '927.0', '704.927', '378.60699999999997', '0.5870000000000001', '0.37', '1.383', '0.018000000000000002', '2015-12-16']"
2015-12-17,"['91.698', '30.81', '26.619', '2.287', '49.227', '16.73', '14.417', '2.254', '1317.0', '762.688', '385.461', '1.4380000000000002', '0.306', '1.725', '0.076', '2015-12-17']"
2015-12-18,"['34.25', '31.861', '26.134', '0.091', '17.652', '17.188', '13.963', '0.033', '1180.0', '804.95', '377.05800000000005', '0.995', '0.32799999999999996', '1.7480000000000002', '-0.09', '2015-12-18']"
2015-12-19,"['15.911', '31.804000000000002', '26.245', '-0.606', '7.605', '17.061', '14.013', '-0.675', '868.0', '836.533', '350.14', '0.09', '0.38799999999999996', '1.117', '0.073', '2015-12-19']"
2015-12-20,"['1.2830000000000001', '31.119', '26.86', '-1.111', '0.82', '16.545', '14.407', '-1.091', '181.0', '834.3489999999999', '368.908', '-1.771', '0.624', '0.47700000000000004', '-0.044000000000000004', '2015-12-20']"
2015-12-21,"['23.934', '30.154', '26.738000000000003', '-0.233', '16.717', '16.165', '14.352', '0.038', '449.0', '820.81', '376.19800000000004', '-0.988', '0.45899999999999996', '0.662', '0.055', '2015-12-21']"
2015-12-22,"['57.345', '30.256', '27.178', '0.997', '33.047', '16.154', '14.729000000000001', '1.147', '851.0', '813.419', '380.852', '0.099', '0.36', '0.87', '0.073', '2015-12-22']"
2015-12-23,"['53.206', '31.739', '27.506', '0.78', '31.914', '16.909000000000002', '14.882', '1.008', '812.0', '806.128', '378.978', '0.015', '0.345', '0.7', '0.079', '2015-12-23']"
2015-12-24,"['62.766000000000005', '34.551', '27.693', '1.0190000000000001', '32.381', '18.096', '14.833', '0.963', '739.0', '779.523', '364.37300000000005', '-0.111', '0.33', '0.7020000000000001', '-0.004', '2015-12-24']"
2015-12-25,"['23.134', '33.464', '27.793000000000003', '-0.37200000000000005', '11.140999999999998', '17.519000000000002', '14.905', '-0.428', '244.0', '749.8530000000001', '381.07099999999997', '-1.327', '0.5', '0.517', '-0.034', '2015-12-25']"
