,SPY
2017-06-01,"['-0.612', '-0.474', '6.656000000000001', '-0.021', '0.564', '-0.136', '3.4139999999999997', '0.205', '388.0', '355.909', '195.639', '0.16399999999999998', '0.45399999999999996', '0.627', '0.059000000000000004', '2017-06-01']"
2017-06-02,"['13.045', '-0.006999999999999999', '7.531000000000001', '1.733', '6.682', '0.083', '3.7960000000000003', '1.7380000000000002', '515.0', '369.733', '198.02700000000002', '0.7340000000000001', '0.41200000000000003', '1.4480000000000002', '0.084', '2017-06-02']"
2017-06-03,"['2.9739999999999998', '0.28800000000000003', '7.437', '0.361', '1.561', '0.28300000000000003', '3.781', '0.33799999999999997', '274.0', '377.085', '190.831', '-0.54', '0.518', '0.505', '-0.124', '2017-06-03']"
2017-06-04,"['-2.696', '0.29', '7.343', '-0.40700000000000003', '-2.325', '0.259', '3.766', '-0.6859999999999999', '139.0', '376.00199999999995', '193.213', '-1.227', '0.425', '0.544', '-0.21600000000000003', '2017-06-04']"
2017-06-05,"['-1.1640000000000001', '-0.217', '6.847', '-0.138', '-0.929', '0.039', '3.5260000000000002', '-0.27399999999999997', '259.0', '365.409', '194.11', '-0.5479999999999999', '0.483', '0.68', '0.125', '2017-06-05']"
2017-06-06,"['-0.29600000000000004', '0.013000000000000001', '6.638', '-0.047', '-1.867', '0.081', '3.447', '-0.565', '329.0', '353.86', '190.428', '-0.131', '0.47100000000000003', '0.5720000000000001', '0.005', '2017-06-06']"
2017-06-07,"['-1.849', '0.925', '5.0680000000000005', '-0.547', '-2.006', '0.488', '2.8339999999999996', '-0.88', '388.0', '331.82199999999995', '152.59', '0.368', '0.449', '1.34', '0.002', '2017-06-07']"
2017-06-08,"['0.142', '1.146', '4.905', '-0.205', '-0.872', '0.5820000000000001', '2.767', '-0.525', '387.0', '325.949', '148.10399999999998', '0.41200000000000003', '0.408', '1.2830000000000001', '0.028999999999999998', '2017-06-08']"
2017-06-09,"['2.455', '1.119', '4.9110000000000005', '0.272', '3.898', '0.7859999999999999', '2.835', '1.097', '410.0', '326.742', '146.811', '0.5670000000000001', '0.444', '1.411', '0.051', '2017-06-09']"
2017-06-10,"['-4.335', '0.638', '5.147', '-0.966', '-1.526', '0.531', '2.773', '-0.742', '338.0', '333.81699999999995', '139.972', '0.03', '0.512', '0.752', '-0.024', '2017-06-10']"
2017-06-11,"['-2.309', '0.797', '5.043', '-0.616', '-0.657', '0.637', '2.719', '-0.47600000000000003', '128.0', '332.88', '147.216', '-1.392', '0.461', '0.48700000000000004', '0.289', '2017-06-11']"
2017-06-12,"['-14.757', '-0.205', '6.1770000000000005', '-2.356', '-8.911', '0.038', '3.5189999999999997', '-2.543', '312.0', '326.95099999999996', '144.876', '-0.10300000000000001', '0.446', '1.232', '-0.013999999999999999', '2017-06-12']"
2017-06-13,"['-8.687000000000001', '-0.569', '5.968999999999999', '-1.36', '-4.872', '-0.168', '3.3539999999999996', '-1.402', '359.0', '317.183', '142.506', '0.293', '0.44', '1.023', '0.11599999999999999', '2017-06-13']"
2017-06-14,"['-4.3580000000000005', '-1.012', '6.011', '-0.557', '-5.165', '-0.5479999999999999', '3.4739999999999998', '-1.329', '323.0', '307.11400000000003', '132.313', '0.12', '0.46399999999999997', '1.17', '-0.08900000000000001', '2017-06-14']"
2017-06-15,"['-9.468', '-1.913', '5.622000000000001', '-1.344', '-6.393', '-1.034', '3.145', '-1.704', '537.0', '309.882', '134.149', '1.693', '0.389', '2.13', '0.07400000000000001', '2017-06-15']"
2017-06-16,"['-1.082', '-2.355', '5.636', '0.226', '-0.638', '-1.2409999999999999', '3.134', '0.192', '345.0', '311.192', '129.19299999999998', '0.262', '0.475', '1.2309999999999999', '-0.063', '2017-06-16']"
2017-06-17,"['-0.34', '-2.346', '5.652', '0.355', '-0.602', '-1.266', '3.137', '0.212', '229.0', '317.347', '123.348', '-0.716', '0.546', '0.585', '0.02', '2017-06-17']"
2017-06-18,"['-2.668', '-2.36', '5.68', '-0.054000000000000006', '-0.9740000000000001', '-1.218', '3.156', '0.077', '91.0', '319.184', '125.23899999999999', '-1.8219999999999998', '0.56', '0.447', '0.003', '2017-06-18']"
2017-06-19,"['6.205', '-1.95', '6.025', '1.3530000000000002', '4.922', '-0.9259999999999999', '3.457', '1.6909999999999998', '254.0', '322.25', '121.766', '-0.561', '0.47600000000000003', '0.956', '-0.168', '2017-06-19']"
2017-06-20,"['0.527', '-1.876', '5.882000000000001', '0.409', '-0.93', '-1.041', '3.2560000000000002', '0.034', '361.0', '318.905', '126.56', '0.33299999999999996', '0.43200000000000005', '1.291', '0.302', '2017-06-20']"
2017-06-21,"['-20.151', '-2.5069999999999997', '7.225', '-2.4419999999999997', '-14.171', '-1.624', '4.412', '-2.844', '387.0', '317.801', '125.14299999999999', '0.5529999999999999', '0.408', '1.3769999999999998', '-0.168', '2017-06-21']"
2017-06-22,"['-5.627999999999999', '-3.057', '5.561', '-0.462', '-2.028', '-1.7269999999999999', '3.036', '-0.099', '338.0', '308.48', '115.773', '0.255', '0.43799999999999994', '1.131', '0.07', '2017-06-22']"
2017-06-23,"['-4.747', '-3.827', '5.8420000000000005', '-0.158', '-2.325', '-2.125', '3.051', '-0.065', '350.0', '310.978', '115.363', '0.33799999999999997', '0.409', '1.365', '0.163', '2017-06-23']"
2017-06-24,"['-1.745', '-3.8139999999999996', '5.8389999999999995', '0.354', '-0.57', '-2.119', '3.0669999999999997', '0.505', '261.0', '317.07', '108.162', '-0.518', '0.479', '0.581', '-0.242', '2017-06-24']"
2017-06-25,"['0.677', '-3.302', '5.808', '0.685', '0.418', '-1.854', '3.025', '0.7509999999999999', '120.0', '215.83900000000003', '158.997', '-0.603', '0.517', '1.3419999999999999', '-0.046', '2017-06-25']"
2017-06-26,"['-4.407', '-3.5460000000000003', '5.749', '-0.15', '-2.612', '-1.995', '2.991', '-0.20600000000000002', '260.0', '229.513', '150.386', '0.203', '0.569', '1.72', '-0.004', '2017-06-26']"
2017-06-27,"['0.88', '-3.423', '5.781000000000001', '0.7440000000000001', '1.148', '-1.868', '3.0439999999999996', '0.991', '357.0', '243.93099999999998', '143.97899999999998', '0.785', '0.415', '1.475', '0.08', '2017-06-27']"
2017-06-28,"['-10.806', '-4.125', '5.912999999999999', '-1.13', '-3.4219999999999997', '-2.124', '2.9960000000000004', '-0.433', '528.0', '271.746', '146.566', '1.7480000000000002', '0.396', '2.065', '0.11599999999999999', '2017-06-28']"
2017-06-29,"['1.5019999999999998', '-4.045', '6.115', '0.907', '0.297', '-2.204', '3.1519999999999997', '0.7929999999999999', '398.0', '289.182', '130.559', '0.833', '0.513', '1.673', '-0.015', '2017-06-29']"
2017-06-30,"['-8.89', '-4.37', '6.3660000000000005', '-0.71', '-5.422000000000001', '-2.387', '3.343', '-0.9079999999999999', '578.0', '318.858', '133.297', '1.944', '0.391', '2.155', '-0.18899999999999997', '2017-06-30']"
2017-07-01,"['-4.78', '-4.327', '6.309', '-0.07200000000000001', '-2.647', '-2.283', '3.262', '-0.11199999999999999', '207.0', '321.33099999999996', '128.165', '-0.892', '0.556', '0.44799999999999995', '0.083', '2017-07-01']"
2017-07-02,"['-2.444', '-4.073', '6.229', '0.262', '-1.064', '-2.084', '3.173', '0.322', '89.0', '317.574', '135.493', '-1.6869999999999998', '0.47200000000000003', '0.42200000000000004', '-0.07200000000000001', '2017-07-02']"
2017-07-03,"['-6.187', '-3.888', '6.042999999999999', '-0.38', '-3.906', '-2.026', '3.1060000000000003', '-0.605', '240.0', '312.01', '135.785', '-0.53', '0.45799999999999996', '0.6920000000000001', '0.033', '2017-07-03']"
2017-07-04,"['-1.232', '-3.7680000000000002', '6.001', '0.423', '-1.137', '-1.943', '3.068', '0.263', '198.0', '301.47', '140.435', '-0.737', '0.515', '0.45399999999999996', '-0.111', '2017-07-04']"
2017-07-05,"['-5.608', '-3.5180000000000002', '5.6770000000000005', '-0.368', '-3.6830000000000003', '-1.811', '2.865', '-0.654', '203.0', '291.374', '135.137', '-0.654', '0.478', '0.688', '0.08199999999999999', '2017-07-05']"
2017-07-06,"['-7.671', '-3.721', '5.721', '-0.69', '-4.825', '-1.91', '2.908', '-1.002', '333.0', '288.497', '136.391', '0.326', '0.475', '1.194', '-0.024', '2017-07-06']"
2017-07-07,"['-6.689', '-4.023', '5.638', '-0.473', '-4.016', '-2.01', '2.846', '-0.705', '393.0', '293.952', '137.535', '0.72', '0.466', '1.546', '0.18100000000000002', '2017-07-07']"
2017-07-08,"['4.863', '-3.701', '6.071000000000001', '1.411', '3.197', '-1.7930000000000001', '3.116', '1.6019999999999999', '220.0', '299.178', '131.02700000000002', '-0.604', '0.591', '0.47600000000000003', '-0.027999999999999997', '2017-07-08']"
2017-07-09,"['-1.124', '-4.074', '5.67', '0.52', '-0.8340000000000001', '-2.039', '2.84', '0.424', '84.0', '296.476', '135.83700000000002', '-1.564', '0.595', '0.485', '-0.009000000000000001', '2017-07-09']"
2017-07-10,"['2.166', '-4.007', '5.5329999999999995', '1.115', '1.8659999999999999', '-1.9040000000000001', '2.8930000000000002', '1.3030000000000002', '200.0', '289.263', '134.064', '-0.6659999999999999', '0.55', '0.7879999999999999', '-0.028999999999999998', '2017-07-10']"
2017-07-11,"['-3.781', '-3.542', '5.099', '-0.047', '-4.209', '-1.729', '2.695', '-0.92', '392.0', '289.168', '136.468', '0.754', '0.34700000000000003', '1.581', '0.24100000000000002', '2017-07-11']"
2017-07-12,"['2.274', '-2.559', '4.724', '1.023', '0.909', '-1.172', '2.524', '0.825', '429.0', '290.493', '138.14700000000002', '1.003', '0.494', '1.696', '-0.258', '2017-07-12']"
2017-07-13,"['1.172', '-2.571', '4.697', '0.797', '-0.902', '-1.2109999999999999', '2.476', '0.125', '460.0', '296.715', '143.195', '1.14', '0.35', '1.764', '-0.17', '2017-07-13']"
2017-07-14,"['4.523', '-2.165', '5.079', '1.317', '4.295', '-0.846', '2.827', '1.819', '375.0', '300.55400000000003', '143.361', '0.519', '0.392', '1.618', '0.094', '2017-07-14']"
2017-07-15,"['4.77', '-2.153', '5.138', '1.348', '1.601', '-0.932', '2.665', '0.951', '322.0', '310.205', '138.02100000000002', '0.085', '0.457', '1.176', '-0.026000000000000002', '2017-07-15']"
2017-07-16,"['0.684', '-1.83', '5.449', '0.461', '-0.012', '-0.7759999999999999', '2.81', '0.272', '95.0', '308.513', '146.196', '-1.46', '0.505', '0.564', '-0.08800000000000001', '2017-07-16']"
2017-07-17,"['5.393', '-1.452', '5.622999999999999', '1.217', '3.467', '-0.56', '2.9419999999999997', '1.369', '269.0', '303.134', '144.506', '-0.23600000000000002', '0.461', '1.368', '-0.045', '2017-07-17']"
2017-07-18,"['-5.087', '-1.261', '5.03', '-0.7609999999999999', '-3.923', '-0.5429999999999999', '2.73', '-1.238', '353.0', '292.928', '141.391', '0.425', '0.39899999999999997', '0.917', '-0.155', '2017-07-18']"
2017-07-19,"['-0.741', '-1.442', '4.681', '0.15', '1.733', '-0.526', '2.549', '0.8859999999999999', '457.0', '294.31', '142.054', '1.145', '0.34600000000000003', '1.9', '0.45299999999999996', '2017-07-19']"
2017-07-20,"['3.8539999999999996', '-0.935', '4.718', '1.015', '-0.131', '-0.439', '2.472', '0.124', '433.0', '286.83', '129.166', '1.1320000000000001', '0.39299999999999996', '1.886', '-0.32', '2017-07-20']"
2017-07-21,"['2.694', '-0.147', '5.041', '0.564', '0.919', '0.076', '2.7260000000000004', '0.309', '364.0', '292.52', '130.92', '0.546', '0.39299999999999996', '1.581', '-0.21100000000000002', '2017-07-21']"
2017-07-22,"['-1.115', '-0.3', '4.978', '-0.16399999999999998', '-0.584', '0.044000000000000004', '2.7039999999999997', '-0.23199999999999998', '198.0', '297.072', '124.324', '-0.797', '0.581', '0.495', '0.1', '2017-07-22']"
2017-07-23,"['0.184', '-0.067', '4.85', '0.052000000000000005', '0.244', '0.193', '2.6010000000000004', '0.019', '99.0', '296.697', '127.725', '-1.548', '0.525', '0.485', '0.055', '2017-07-23']"
2017-07-24,"['3.025', '0.218', '4.873', '0.5760000000000001', '2.456', '0.409', '2.62', '0.7809999999999999', '260.0', '297.10900000000004', '126.988', '-0.292', '0.42700000000000005', '1.42', '0.192', '2017-07-24']"
2017-07-25,"['9.861', '0.873', '5.207999999999999', '1.726', '7.414', '0.848', '2.971', '2.21', '350.0', '302.593', '126.242', '0.376', '0.43700000000000006', '1.2409999999999999', '0.419', '2017-07-25']"
2017-07-26,"['4.333', '1.222', '4.658', '0.6679999999999999', '2.6039999999999996', '0.904', '2.499', '0.68', '353.0', '303.77', '126.48899999999999', '0.389', '0.385', '1.4469999999999998', '-0.19899999999999998', '2017-07-26']"
2017-07-27,"['1.1', '1.874', '4.245', '-0.182', '1.324', '1.251', '2.181', '0.033', '401.0', '306.17400000000004', '127.648', '0.743', '0.369', '1.496', '0.063', '2017-07-27']"
2017-07-28,"['-9.29', '1.209', '4.967', '-2.114', '-5.124', '0.8420000000000001', '2.642', '-2.258', '519.0', '319.444', '135.69899999999998', '1.4709999999999999', '0.391', '2.004', '0.025', '2017-07-28']"
2017-07-29,"['-2.806', '1.148', '4.7669999999999995', '-0.8290000000000001', '-1.6159999999999999', '0.794', '2.573', '-0.9359999999999999', '204.0', '323.94', '131.511', '-0.912', '0.539', '0.495', '0.08', '2017-07-29']"
2017-07-30,"['-0.779', '0.961', '4.825', '-0.361', '-0.585', '0.617', '2.603', '-0.461', '128.0', '323.566', '132.864', '-1.472', '0.469', '0.489', '0.07400000000000001', '2017-07-30']"
2017-07-31,"['-5.372000000000001', '0.675', '5.021', '-1.204', '-4.295', '0.379', '2.827', '-1.653', '260.0', '320.082', '132.548', '-0.45299999999999996', '0.419', '0.8340000000000001', '0.155', '2017-07-31']"
2017-08-01,"['-1.976', '0.812', '4.855', '-0.574', '-0.547', '0.506', '2.6639999999999997', '-0.395', '341.0', '313.177', '131.593', '0.21100000000000002', '0.446', '1.324', '-0.237', '2017-08-01']"
2017-08-02,"['-3.784', '0.386', '4.946000000000001', '-0.843', '-3.418', '0.248', '2.792', '-1.3130000000000002', '393.0', '309.77099999999996', '128.685', '0.647', '0.40700000000000003', '1.558', '-0.073', '2017-08-02']"
2017-08-03,"['-3.431', '0.389', '4.922', '-0.7759999999999999', '-1.655', '0.326', '2.702', '-0.733', '325.0', '305.68', '126.848', '0.152', '0.42200000000000004', '0.914', '-0.136', '2017-08-03']"
2017-08-04,"['-8.253', '-0.622', '5.146', '-1.483', '-4.982', '-0.168', '2.8819999999999997', '-1.671', '384.0', '306.639', '124.834', '0.62', '0.41700000000000004', '1.492', '0.09699999999999999', '2017-08-04']"
2017-08-05,"['-2.7539999999999996', '-0.72', '5.067', '-0.401', '-1.4140000000000001', '-0.193', '2.798', '-0.43700000000000006', '212.0', '311.428', '117.37', '-0.847', '0.514', '0.45799999999999996', '-0.005', '2017-08-05']"
2017-08-06,"['-0.040999999999999995', '-0.924', '4.938', '0.179', '-0.34299999999999997', '-0.317', '2.68', '-0.01', '101.0', '309.993', '122.18799999999999', '-1.71', '0.485', '0.435', '0.162', '2017-08-06']"
2017-08-07,"['-1.102', '-0.8220000000000001', '4.904', '-0.057', '-1.072', '-0.22399999999999998', '2.635', '-0.322', '209.0', '302.134', '123.05799999999999', '-0.757', '0.546', '0.696', '-0.09', '2017-08-07']"
2017-08-08,"['0.32299999999999995', '-0.706', '4.784', '0.215', '0.9670000000000001', '-0.161', '2.596', '0.434', '347.0', '295.668', '122.835', '0.418', '0.47600000000000003', '1.4040000000000001', '-0.006999999999999999', '2017-08-08']"
2017-08-09,"['-18.219', '-2.327', '5.551', '-2.863', '-12.203', '-1.24', '3.4219999999999997', '-3.2030000000000003', '553.0', '300.25', '132.032', '1.9140000000000001', '0.40700000000000003', '2.1630000000000003', '0.032', '2017-08-09']"
2017-08-10,"['-12.354000000000001', '-2.503', '5.206', '-1.892', '-8.587', '-1.44', '3.2489999999999997', '-2.2', '540.0', '309.223', '141.428', '1.632', '0.415', '2.134', '-0.483', '2017-08-10']"
2017-08-11,"['-13.224', '-3.06', '5.723', '-1.776', '-6.7829999999999995', '-1.594', '3.235', '-1.604', '729.0', '331.189', '168.024', '2.3680000000000003', '0.39899999999999997', '2.17', '0.049', '2017-08-11']"
2017-08-12,"['-0.142', '-3.237', '6.1160000000000005', '0.506', '-1.102', '-1.751', '3.3819999999999997', '0.192', '314.0', '341.527', '161.218', '-0.171', '0.45899999999999996', '0.637', '0.07200000000000001', '2017-08-12']"
2017-08-13,"['-3.281', '-3.516', '5.982', '0.039', '-2.181', '-1.9280000000000002', '3.29', '-0.077', '130.0', '342.17', '165.738', '-1.28', '0.446', '0.6', '-0.18600000000000003', '2017-08-13']"
2017-08-14,"['-5.412000000000001', '-4.14', '5.561', '-0.22899999999999998', '-4.253', '-2.34', '3.1069999999999998', '-0.616', '340.0', '342.656', '164.797', '-0.016', '0.535', '1.604', '0.16699999999999998', '2017-08-14']"
2017-08-15,"['1.962', '-4.324', '4.971', '1.265', '1.95', '-2.3409999999999997', '2.903', '1.4780000000000002', '427.0', '340.673', '168.07', '0.514', '0.41200000000000003', '1.4369999999999998', '0.396', '2017-08-15']"
2017-08-16,"['-2.332', '-4.5360000000000005', '4.752', '0.46399999999999997', '-1.31', '-2.457', '2.763', '0.415', '321.0', '338.499', '168.821', '-0.10400000000000001', '0.48', '0.608', '-0.27', '2017-08-16']"
2017-08-17,"['-11.817', '-4.715', '5.1', '-1.393', '-8.832', '-2.6180000000000003', '3.167', '-1.962', '483.0', '337.461', '165.725', '0.878', '0.431', '1.6769999999999998', '0.09', '2017-08-17']"
2017-08-18,"['-25.195999999999998', '-5.631', '6.882999999999999', '-2.842', '-15.932', '-3.076', '4.236000000000001', '-3.035', '796.0', '363.966', '194.169', '2.225', '0.36200000000000004', '2.26', '0.024', '2017-08-18']"
2017-08-19,"['-4.3', '-5.78', '6.8020000000000005', '0.218', '-2.6830000000000003', '-3.049', '3.8789999999999996', '0.094', '353.0', '372.898', '184.37099999999998', '-0.10800000000000001', '0.48700000000000004', '0.8420000000000001', '-0.013999999999999999', '2017-08-19']"
2017-08-20,"['-2.591', '-5.957000000000001', '6.853', '0.491', '-1.569', '-3.074', '3.898', '0.386', '111.0', '371.93', '192.685', '-1.354', '0.532', '0.539', '0.01', '2017-08-20']"
2017-08-21,"['-7.082000000000001', '-6.182', '6.8020000000000005', '-0.132', '-5.468999999999999', '-3.327', '3.88', '-0.552', '316.0', '371.782', '192.024', '-0.29', '0.48700000000000004', '1.422', '0.068', '2017-08-21']"
2017-08-22,"['1.607', '-5.885', '6.898', '1.0859999999999999', '2.144', '-3.057', '3.932', '1.3230000000000002', '444.0', '371.25', '195.90099999999998', '0.371', '0.405', '1.297', '0.16699999999999998', '2017-08-22']"
2017-08-23,"['-1.915', '-5.876', '6.746', '0.5870000000000001', '0.495', '-3.02', '3.873', '0.9079999999999999', '457.0', '376.62', '196.609', '0.409', '0.409', '0.826', '0.129', '2017-08-23']"
2017-08-24,"['-6.696000000000001', '-5.8629999999999995', '6.737', '-0.124', '-3.575', '-3.043', '3.835', '-0.139', '386.0', '377.324', '196.55599999999998', '0.044000000000000004', '0.433', '0.644', '0.03', '2017-08-24']"
2017-08-25,"['-4.704', '-5.76', '6.744', '0.157', '-3.0410000000000004', '-2.9989999999999997', '3.85', '-0.011000000000000001', '388.0', '383.866', '194.608', '0.021', '0.42', '0.7020000000000001', '-0.126', '2017-08-25']"
2017-08-26,"['-3.042', '-5.982', '6.649', '0.442', '-1.749', '-3.096', '3.7939999999999996', '0.355', '236.0', '389.89599999999996', '186.709', '-0.8240000000000001', '0.568', '0.513', '-0.002', '2017-08-26']"
2017-08-27,"['1.217', '-5.879', '6.757000000000001', '1.05', '1.1420000000000001', '-3.0180000000000002', '3.8680000000000003', '1.075', '133.0', '392.494', '186.352', '-1.392', '0.466', '0.531', '-0.018000000000000002', '2017-08-27']"
2017-08-28,"['-0.196', '-5.72', '6.8', '0.812', '-0.642', '-2.946', '3.843', '0.6', '255.0', '387.959', '188.199', '-0.706', '0.45899999999999996', '0.8059999999999999', '0.11800000000000001', '2017-08-28']"
2017-08-29,"['-15.829', '-5.877999999999999', '7.224', '-1.3769999999999998', '-10.274000000000001', '-2.988', '4.148', '-1.757', '491.0', '383.314', '188.62599999999998', '0.5710000000000001', '0.444', '1.399', '-0.059000000000000004', '2017-08-29']"
2017-08-30,"['5.372000000000001', '-4.831', '7.284', '1.401', '4.254', '-2.311', '4.154', '1.58', '479.0', '378.94699999999995', '185.202', '0.54', '0.409', '1.315', '0.114', '2017-08-30']"
2017-08-31,"['10.003', '-3.852', '7.205', '1.923', '5.671', '-1.824', '4.058', '1.847', '448.0', '365.715', '165.84799999999998', '0.496', '0.415', '1.137', '-0.075', '2017-08-31']"
2017-09-01,"['3.5260000000000002', '-3.5989999999999998', '7.502999999999999', '0.95', '2.248', '-1.661', '4.194', '0.932', '469.0', '371.096', '166.847', '0.5870000000000001', '0.39', '1.268', '0.07400000000000001', '2017-09-01']"
2017-09-02,"['2.178', '-3.225', '7.653', '0.706', '1.42', '-1.416', '4.257', '0.6659999999999999', '191.0', '372.26300000000003', '163.691', '-1.107', '0.607', '0.371', '-0.028999999999999998', '2017-09-02']"
2017-09-03,"['2.438', '-2.985', '7.733', '0.701', '1.5859999999999999', '-1.25', '4.275', '0.6629999999999999', '111.0', '369.273', '168.028', '-1.537', '0.586', '0.511', '0.002', '2017-09-03']"
2017-09-04,"['0.6709999999999999', '-2.8960000000000004', '7.778', '0.45899999999999996', '0.316', '-1.246', '4.279', '0.365', '125.0', '351.99300000000005', '174.535', '-1.301', '0.5760000000000001', '0.498', '0.02', '2017-09-04']"
2017-09-05,"['3.325', '-2.6919999999999997', '7.879', '0.764', '2.491', '-1.13', '4.343999999999999', '0.8340000000000001', '287.0', '349.764', '174.75900000000001', '-0.359', '0.474', '0.733', '0.066', '2017-09-05']"
2017-09-06,"['-5.16', '-2.591', '7.608', '-0.33799999999999997', '-1.855', '-1.047', '4.176', '-0.19399999999999998', '467.0', '346.36', '176.59900000000002', '0.6829999999999999', '0.525', '1.0979999999999999', '-0.013999999999999999', '2017-09-06']"
2017-09-07,"['3.1260000000000003', '-1.136', '5.52', '0.772', '1.949', '-0.267', '2.96', '0.7490000000000001', '364.0', '327.394', '146.933', '0.249', '0.385', '0.682', '0.073', '2017-09-07']"
2017-09-08,"['-2.249', '-0.89', '5.193', '-0.262', '-0.691', '-0.154', '2.807', '-0.191', '330.0', '321.185', '141.928', '0.062', '0.446', '0.6409999999999999', '0.36700000000000005', '2017-09-08']"
2017-09-09,"['-1.79', '-0.843', '5.184', '-0.183', '-1.038', '-0.185', '2.825', '-0.302', '245.0', '327.966', '135.5', '-0.612', '0.498', '0.542', '-0.14400000000000002', '2017-09-09']"
2017-09-10,"['-3.0669999999999997', '-0.767', '5.194', '-0.44299999999999995', '-1.709', '-0.16699999999999998', '2.8339999999999996', '-0.544', '127.0', '325.755', '139.863', '-1.421', '0.41700000000000004', '0.546', '0.006', '2017-09-10']"
2017-09-11,"['2.69', '-0.433', '5.194', '0.601', '2.9619999999999997', '0.013000000000000001', '2.9219999999999997', '1.0090000000000001', '301.0', '318.73900000000003', '137.681', '-0.129', '0.508', '1.3619999999999999', '0.127', '2017-09-11']"
2017-09-12,"['8.991', '0.061', '5.641', '1.5830000000000002', '4.617', '0.17800000000000002', '3.0860000000000003', '1.4380000000000002', '441.0', '314.77099999999996', '139.248', '0.907', '0.45799999999999996', '1.6219999999999999', '0.091', '2017-09-12']"
2017-09-13,"['4.02', '0.552', '5.935', '0.584', '1.636', '0.415', '3.325', '0.36700000000000005', '359.0', '313.144', '138.846', '0.33', '0.44299999999999995', '1.061', '-0.032', '2017-09-13']"
2017-09-14,"['-2.867', '0.732', '5.8020000000000005', '-0.62', '-2.432', '0.53', '3.36', '-0.882', '377.0', '314.086', '139.217', '0.452', '0.424', '1.042', '0.049', '2017-09-14']"
2017-09-15,"['-3.327', '0.711', '5.811', '-0.695', '-2.149', '0.551', '3.339', '-0.809', '406.0', '317.827', '139.55', '0.632', '0.461', '1.335', '-0.013000000000000001', '2017-09-15']"
2017-09-16,"['1.101', '0.73', '5.837999999999999', '0.064', '0.184', '0.551', '3.3369999999999997', '-0.11', '219.0', '321.686', '134.112', '-0.7659999999999999', '0.5660000000000001', '0.48200000000000004', '-0.07200000000000001', '2017-09-16']"
2017-09-17,"['1.561', '0.748', '5.712999999999999', '0.142', '0.818', '0.58', '3.26', '0.073', '99.0', '318.72700000000003', '139.472', '-1.575', '0.40399999999999997', '0.522', '0.023', '2017-09-17']"
2017-09-18,"['4.762', '1.578', '4.803', '0.6629999999999999', '3.988', '1.129', '2.772', '1.031', '275.0', '311.337', '136.153', '-0.267', '0.47600000000000003', '1.395', '-0.152', '2017-09-18']"
2017-09-19,"['-1.665', '1.453', '4.654', '-0.67', '-1.165', '0.997', '2.705', '-0.799', '379.0', '302.836', '132.415', '0.575', '0.41200000000000003', '0.823', '0.158', '2017-09-19']"
2017-09-20,"['2.079', '1.185', '3.952', '0.226', '0.833', '0.888', '2.386', '-0.023', '417.0', '300.663', '129.608', '0.898', '0.405', '1.7269999999999999', '-0.302', '2017-09-20']"
2017-09-21,"['-2.0709999999999997', '0.845', '3.951', '-0.738', '-1.1320000000000001', '0.778', '2.428', '-0.787', '462.0', '300.307', '129.256', '1.251', '0.387', '1.7280000000000002', '0.1', '2017-09-21']"
2017-09-22,"['-4.186', '0.495', '4.159', '-1.126', '-3.002', '0.599', '2.568', '-1.402', '333.0', '304.089', '130.209', '0.222', '0.441', '1.197', '0.027999999999999997', '2017-09-22']"
2017-09-23,"['2.039', '0.48', '4.112', '0.379', '1.604', '0.642', '2.509', '0.38299999999999995', '241.0', '310.481', '122.904', '-0.565', '0.56', '0.546', '-0.013999999999999999', '2017-09-23']"
2017-09-24,"['-1.0', '0.244', '4.1080000000000005', '-0.303', '-0.615', '0.495', '2.515', '-0.441', '97.0', '310.82599999999996', '125.572', '-1.703', '0.46399999999999997', '0.45799999999999996', '0.003', '2017-09-24']"
2017-09-25,"['-4.418', '-0.025', '4.178', '-1.051', '-3.418', '0.253', '2.625', '-1.3980000000000001', '275.0', '314.485', '120.507', '-0.32799999999999996', '0.484', '1.381', '-0.10300000000000001', '2017-09-25']"
2017-09-26,"['-4.993', '0.035', '4.127', '-1.218', '-3.623', '0.273', '2.614', '-1.4909999999999999', '360.0', '303.756', '117.92399999999999', '0.47700000000000004', '0.45799999999999996', '0.628', '0.054000000000000006', '2017-09-26']"
2017-09-27,"['-2.254', '-0.146', '4.107', '-0.513', '-2.343', '0.188', '2.569', '-0.985', '412.0', '308.133', '120.699', '0.861', '0.396', '1.6119999999999999', '0.28800000000000003', '2017-09-27']"
2017-09-28,"['10.417', '0.574', '4.687', '2.1', '4.611000000000001', '0.635', '2.6189999999999998', '1.518', '438.0', '311.86400000000003', '123.551', '1.021', '0.39299999999999996', '1.662', '-0.054000000000000006', '2017-09-28']"
2017-09-29,"['3.812', '0.541', '4.351', '0.752', '3.725', '0.741', '2.591', '1.1520000000000001', '313.0', '314.51', '125.944', '-0.012', '0.428', '0.591', '0.128', '2017-09-29']"
2017-09-30,"['3.627', '0.8109999999999999', '4.292', '0.6559999999999999', '1.575', '0.8059999999999999', '2.451', '0.314', '251.0', '320.224', '118.781', '-0.583', '0.562', '0.515', '-0.276', '2017-09-30']"
2017-10-01,"['1.252', '0.938', '4.376', '0.07200000000000001', '0.6990000000000001', '0.863', '2.481', '-0.066', '115.0', '316.285', '124.85799999999999', '-1.6119999999999999', '0.522', '0.457', '-0.006999999999999999', '2017-10-01']"
