,q1signal,q1signalRolling,lastsignal,position,adjClose,rtnSPY,cRtn-SPY,rtnPort,cRtn-Port
2018-06-19,0.0003385564535383223,0.00046757546755035625,0.0016333347054079412,-1,263.6959684088,0.001705989110924122,0.022421502960196404,-0.001705989110924122,0.1265848788645858
2018-06-20,0.0004209252239782553,0.0006285987703231295,0.0010107822249649653,-1,264.1458308595,-0.006268797332942833,0.016012149769296213,0.006268797332942833,0.1336472111485456
2018-06-21,0.0003671183224676054,0.0008459270460916514,0.001188897048516003,-1,262.4899541795,0.0018232205365571463,0.01786456398614722,-0.0018232205365571463,0.13158032227196892
2018-06-22,0.00033389974484604256,0.0008753741699718688,0.0007774460442534019,1.0,262.9685312546,-0.013612870350004691,0.00400850564273969,-0.013612870350004691,0.11617626605426401
2018-06-25,0.00040779626937570315,0.0009920422603276503,0.0018068512049799132,-1,259.3887747325,0.0022140221399027382,0.00623140270288336,-0.0022140221399027382,0.11370502708918595
2018-06-26,0.0003948442886545862,0.0008753741699718688,0.0005579770695586774,1.0,259.9630672226,-0.008284241531339998,-0.00210446127352637,-0.008284241531339998,0.10447882565011168
2018-06-27,0.0004221423983311486,0.0008931141346091836,0.0014977059308677197,-1,257.8094703845,0.0057174679781997195,0.003600974514730515,-0.0057174679781997195,0.0981640033318576
2018-06-28,0.00042383088136354214,0.0006667115569060397,0.00040005610415495976,0.75,259.2834877759,0.001439698770646869,0.0050458576039593694,0.0010797740779851517,0.09934977235603171
2018-06-29,0.00044753792602456933,0.0005953627111653897,0.0006347483527721022,1.0,259.6567778945,0.002138012385817678,0.007194658095831308,0.002138012385817678,0.10170019578567469
2018-07-02,0.000359685348849154,0.0004780165868568185,0.000314781383740569,0.75,260.2119273017,-0.0035312293092336633,0.0036380227990597813,-0.0026484219819252475,0.09878242876966459
2018-07-03,0.000363537106147671,0.00035641874394776434,0.0001992119584025901,0.75,259.29305931740004,0.008157991879029103,0.011825693638539247,0.006118493909271827,0.10550532236770671
2018-07-05,0.0003709408033586813,0.0002559966710715795,0.00015842304054873718,0.75,261.4083699896,0.008458130423627974,0.02038384732131182,0.006343597817720981,0.11251820351815733
2018-07-06,0.0003978395377352884,0.00017781749947566364,-0.00021505725605348568,0,263.6193960768,0.009004429598603814,0.029571821838069168,0.0,0.11251820351815733
2018-07-09,0.00035921035760028765,0.00016601620190799364,0.0001756093632672501,0.75,265.9931383696,0.0035984166966369635,0.033276650272158204,0.0026988125224777226,0.11552068157729667
2018-07-10,0.00044550129784211973,-6.539744656129442e-06,-0.00016950252986099607,0,266.9502925199,-0.007314449623816999,0.025718800266276043,-0.0,0.11552068157729667
2018-07-11,0.0005357020657118116,-6.539744656129442e-06,0.0008310320297222544,1.0,264.9976980532,0.009065953911862712,0.03501791963602119,0.009065953911862712,0.1256339406642062
2018-07-12,0.0005206465174570871,-3.5550159413980196e-05,0.00010040221103303564,0.75,267.4001549705,0.0007874861296293112,0.035832981891652294,0.0005906145972219834,0.12629875650069078
2018-07-13,0.000509739935006871,-3.5550159413980196e-05,0.000258255686445895,0.75,267.6107288836,-0.0008941664581172404,0.03490677478303317,-0.0006706248435879303,0.12554343257327916
2018-07-16,0.0005122118699947858,-3.5550159413980196e-05,0.0007852244658336896,1.0,267.371440346,0.004045249516554161,0.03909323091340289,0.004045249516554161,0.13009653659975684
2018-07-17,0.00033038468287900494,0.00010751723272339133,0.00011663225441374702,0.75,268.4530245358,0.0021036117945643085,0.041279079689604314,0.0015777088459232314,0.13187949990229741
2018-07-18,0.0004791328008685186,0.00010751723272339133,0.0003884700829907874,0.75,269.0177454845,-0.0037714367038230723,0.0373519615495399,-0.002828577527867304,0.12867789098462
2018-07-19,0.00046377165864322235,0.000186443970429821,0.0005890844462205725,1.0,268.0031620852,-0.0011428571428671042,0.03616641645061591,-0.0011428571428671042,0.12738797339491215
2018-07-20,0.00042824335383146936,0.000186443970429821,0.0009441140686300464,1.0,267.6968727571,0.0018592677347100128,0.0380929272365127,0.0018592677347100128,0.12948408947834533
2018-07-23,0.0003915697722067906,0.0003223628847183412,0.0006065028035616048,1.0,268.1945929153,0.00503211991423802,0.04331673532848912,0.00503211991423802,0.1351677888578242
2018-07-24,0.0003592736490074283,0.00038847169026739775,0.0003904732975440082,1.0,269.54418026720003,0.008522424629694436,0.05220832357022509,0.008522424629694436,0.14484217078042194
2018-07-25,0.0003852549697459023,0.00038847169026739775,0.0005024877529798752,1.0,271.8413502279,-0.0023590718636526953,0.04972608851938931,-0.0023590718636526953,0.14214140582701074
2018-07-26,0.00039654857035123546,0.0004454805252619417,0.0005076400097343598,1.0,271.20005694720004,-0.006776311145678782,0.04261281792584559,-0.006776311145678782,0.13440190028876398
2018-07-27,0.00038283947965036635,0.0005040638813571174,0.0009202917861465973,1.0,269.3623209786,-0.005223509345287147,0.03716672012789379,-0.005223509345287147,0.12847634136129416
2018-07-30,0.00039154778081285666,0.0005040638813571174,0.001036671624582207,-1,267.95530437770003,0.004929451687726516,0.04227938336688197,-0.004929451687726516,0.12291357175581119
2018-07-31,0.0003854684322627218,0.0005040638813571174,0.0009028247543437465,1.0,269.2761771051,-0.001670635907848661,0.04053811400301899,-0.001670635907848661,0.12103759202142528
2018-08-01,0.00044828789815018824,0.0005040638813571174,0.0006936271796799175,1.0,268.8263146545,0.005447553941220873,0.04620650150694661,0.005447553941220873,0.12714450477409844
2018-08-02,0.0004718513968179142,0.0005656528769628336,0.0006256657441913075,1.0,270.2907605044,0.004284854279660744,0.05068934391233748,0.004284854279660744,0.13197415472917573
